Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
93797789,"2025-02-05 07:35:44",buy,0.5,BTCUSD,97129.09000000,97151.46,98722.54000000,"2025-02-05 21:43:23",97256.97000000,0,0,51.15000000,127.88,50859
93797652,"2025-02-05 21:16:10",buy,10,US100.cash,21617.45000000,21605.39,21698.99000000,"2025-02-05 21:41:12",21605.35000000,0,0,-96.79000000,-12.10,1502
93796883,"2025-02-05 19:58:10",buy,3,ETHUSD,2738.23667000,2711.86,2817.70000000,"2025-02-05 21:25:34",2771.19000000,0,0,79.08000000,32.95,5244
93796861,"2025-02-05 20:11:16",buy,5,US100.cash,21626.35000000,21565,21726.35000000,"2025-02-05 21:25:14",21634.55000000,0,0,32.80000000,8.20,4438
93796776,"2025-02-05 07:35:44",buy,0.5,BTCUSD,98204.22800000,95589.07,98722.54000000,"2025-02-05 21:23:20",97565.87000000,0,0,-255.31000000,-638.36,49656
93796181,"2025-02-05 19:58:10",buy,2,ETHUSD,2722.77000000,2711.86,2817.70000000,"2025-02-05 21:12:18",2773.14000000,0,0,80.59000000,50.37,4448
93796166,"2025-02-05 18:23:15",buy,4,US100.cash,21605.25000000,21528.11,21726.05000000,"2025-02-05 21:12:01",21608.85000000,0,0,11.52000000,3.60,10126
93796146,"2025-02-05 20:58:32",buy,3,US30.cash,44799.44000000,44779.44,0.00000000,"2025-02-05 21:11:47",44828.86000000,0,0,70.60000000,29.42,795
93794753,"2025-02-05 20:11:33",buy,3,US30.cash,44821.84000000,44801.84,44881.84000000,"2025-02-05 20:42:18",44799.36000000,0,0,-53.92000000,-22.48,1845
93793335,"2025-02-05 18:23:15",buy,2.1,US100.cash,21606.05000000,21528.11,21726.05000000,"2025-02-05 20:12:13",21623.45000000,0,0,29.21000000,17.40,6538
93793217,"2025-02-05 19:55:24",sell,2,US100.cash,21589.75000000,21629.75,0.00000000,"2025-02-05 20:10:38",21629.95000000,0,0,-64.26000000,-40.20,914
93792213,"2025-02-05 19:39:42",buy,3,US30.cash,44763.34000000,44763.97,44899.01000000,"2025-02-05 19:55:54",44763.26000000,0,0,-0.19000000,-0.08,972
93791548,"2025-02-05 17:46:49",buy,5,US100.cash,21559.75000000,21506.22,21759.75000000,"2025-02-05 19:47:42",21591.85000000,0,0,128.31000000,32.10,7253
93791267,"2025-02-05 17:46:49",buy,5,US100.cash,21559.75000000,21506.22,21759.75000000,"2025-02-05 19:43:40",21597.55000000,0,0,151.05000000,37.80,7011
93790193,"2025-02-05 19:03:43",buy,3,US30.cash,44707.94000000,44642.28,44807.94000000,"2025-02-05 19:27:39",44706.86000000,0,0,-2.59000000,-1.08,1436
93790118,"2025-02-05 17:46:32",buy,10,US30.cash,44657.49000000,44581.94,44831.94000000,"2025-02-05 19:26:28",44706.36000000,0,0,390.70000000,48.87,5996
93786506,"2025-02-05 18:09:33",buy,5,ETHUSD,2777.28000000,2737.28,2837.28000000,"2025-02-05 18:34:16",2737.17000000,0,0,-160.37000000,-40.11,1483
93779612,"2025-02-05 17:14:44",sell,5,US100.cash,21483.73000000,21517.95,21259.86000000,"2025-02-05 17:30:02",21518.55000000,0,0,-139.07000000,-34.82,918
93779409,"2025-02-05 16:54:44",sell,5,US30.cash,44568.30000000,44607.07,44294.88000000,"2025-02-05 17:28:44",44609.04000000,0,0,-162.72000000,-40.74,2040
93778347,"2025-02-05 17:03:32",buy,3,US100.cash,21502.35000000,21460.77,0.00000000,"2025-02-05 17:20:19",21460.55000000,0,0,-100.24000000,-41.80,1007
93777719,"2025-02-05 16:29:42",buy,6,ETHUSD,2773.41500000,2741.11,0.00000000,"2025-02-05 17:16:40",2740.83000000,0,0,-156.28000000,-32.59,2818
